Date,Day,Start Time,Arrival Time,Starting Location,Arrival Location
2024-01-01,Monday,08:06,09:15,Home,Work
2024-01-01,Monday,16:45,17:47,Work,Gym
2024-01-01,Monday,19:24,19:51,Gym,Home
2024-01-02,Tuesday,08:15,08:59,Home,Work
2024-01-02,Tuesday,16:59,18:12,Work,Gym
2024-01-02,Tuesday,19:18,19:38,Gym,Home
2024-01-03,Wednesday,08:14,09:14,Home,Work
2024-01-03,Wednesday,17:14,17:59,Work,Gym
2024-01-03,Wednesday,19:17,19:37,Gym,Home
2024-01-04,Thursday,16:06,17:29,Home,Grocery Store
2024-01-04,Thursday,20:27,21:10,Grocery Store,Home
2024-01-05,Friday,08:06,09:05,Home,Work
2024-01-05,Friday,17:03,18:12,Work,Gym
2024-01-05,Friday,19:00,19:37,Gym,Home
2024-01-08,Monday,08:12,09:03,Home,Work
2024-01-08,Monday,17:07,18:11,Work,Gym
2024-01-08,Monday,19:04,19:55,Gym,Home
2024-01-09,Tuesday,08:13,09:10,Home,Work
2024-01-09,Tuesday,16:49,18:08,Work,Gym
2024-01-09,Tuesday,19:20,19:42,Gym,Home
2024-01-10,Wednesday,08:02,08:54,Home,Work
2024-01-10,Wednesday,17:15,18:00,Work,Gym
2024-01-10,Wednesday,19:04,19:59,Gym,Home
2024-01-11,Thursday,07:51,09:11,Home,Work
2024-01-11,Thursday,17:02,18:13,Work,Gym
2024-01-11,Thursday,19:28,19:41,Gym,Home
2024-01-12,Friday,07:48,09:09,Home,Work
2024-01-12,Friday,17:08,17:47,Work,Gym
2024-01-12,Friday,19:30,19:35,Gym,Home
2024-01-14,Sunday,13:13,14:36,Home,Park
2024-01-14,Sunday,15:38,16:06,Park,Grocery Store
2024-01-14,Sunday,18:18,19:16,Grocery Store,Home
2024-01-15,Monday,08:06,09:12,Home,Work
2024-01-15,Monday,17:14,17:56,Work,Gym
2024-01-15,Monday,19:04,19:55,Gym,Home
2024-01-16,Tuesday,09:32,10:41,Home,Park
2024-01-16,Tuesday,13:34,14:49,Park,Home
2024-01-17,Wednesday,08:12,08:56,Home,Work
2024-01-17,Wednesday,16:49,17:53,Work,Gym
2024-01-17,Wednesday,19:17,20:00,Gym,Home
2024-01-18,Thursday,07:50,09:06,Home,Work
2024-01-18,Thursday,16:56,17:48,Work,Gym
2024-01-18,Thursday,19:26,19:39,Gym,Home
2024-01-19,Friday,07:46,08:59,Home,Work
2024-01-19,Friday,16:49,18:06,Work,Gym
2024-01-19,Friday,19:07,19:52,Gym,Home
2024-01-20,Saturday,12:54,13:14,Home,Grocery Store
2024-01-20,Saturday,14:26,15:51,Grocery Store,Dry Cleaners
2024-01-20,Saturday,18:08,19:11,Dry Cleaners,Home
2024-01-21,Sunday,08:07,09:22,Home,Mall
2024-01-21,Sunday,10:02,11:55,Mall,Park
2024-01-21,Sunday,12:40,13:42,Park,Home
2024-01-22,Monday,09:00,10:13,Home,Friend's House
2024-01-22,Monday,13:26,14:10,Friend's House,Park
2024-01-22,Monday,17:07,18:37,Park,Home
2024-01-23,Tuesday,12:38,13:13,Home,Park
2024-01-23,Tuesday,14:40,15:16,Park,Grocery Store
2024-01-23,Tuesday,17:25,18:21,Grocery Store,Friend's House
2024-01-23,Tuesday,20:45,21:09,Friend's House,Home
2024-01-24,Wednesday,07:53,09:11,Home,Work
2024-01-24,Wednesday,17:04,17:48,Work,Gym
2024-01-24,Wednesday,19:24,19:38,Gym,Home
2024-01-25,Thursday,08:02,09:11,Home,Work
2024-01-25,Thursday,17:10,18:08,Work,Gym
2024-01-25,Thursday,19:00,19:56,Gym,Home
2024-01-26,Friday,08:13,08:53,Home,Work
2024-01-26,Friday,16:45,17:51,Work,Gym
2024-01-26,Friday,19:23,19:42,Gym,Home
2024-01-29,Monday,08:09,09:05,Home,Work
2024-01-29,Monday,16:53,17:47,Work,Gym
2024-01-29,Monday,19:07,19:54,Gym,Home
2024-01-30,Tuesday,07:50,09:10,Home,Work
2024-01-30,Tuesday,17:00,18:14,Work,Gym
2024-01-30,Tuesday,19:07,19:44,Gym,Home
2024-01-31,Wednesday,07:56,09:00,Home,Work
2024-01-31,Wednesday,17:06,18:11,Work,Gym
2024-01-31,Wednesday,19:27,19:41,Gym,Home
2024-02-01,Thursday,07:59,08:59,Home,Work
2024-02-01,Thursday,16:45,17:51,Work,Gym
2024-02-01,Thursday,19:21,19:58,Gym,Home
2024-02-02,Friday,07:53,08:58,Home,Work
2024-02-02,Friday,16:48,17:54,Work,Gym
2024-02-02,Friday,19:23,19:39,Gym,Home
2024-02-05,Monday,07:52,08:59,Home,Work
2024-02-05,Monday,16:59,18:00,Work,Gym
2024-02-05,Monday,19:14,19:46,Gym,Home
2024-02-06,Tuesday,08:05,09:03,Home,Work
2024-02-06,Tuesday,16:52,17:48,Work,Gym
2024-02-06,Tuesday,19:10,19:42,Gym,Home
2024-02-07,Wednesday,08:00,09:08,Home,Work
2024-02-07,Wednesday,17:03,18:05,Work,Gym
2024-02-07,Wednesday,19:07,19:44,Gym,Home
2024-02-08,Thursday,08:08,09:14,Home,Work
2024-02-08,Thursday,16:47,17:56,Work,Gym
2024-02-08,Thursday,19:16,19:45,Gym,Home
2024-02-09,Friday,07:54,08:56,Home,Work
2024-02-09,Friday,16:56,17:55,Work,Gym
2024-02-09,Friday,19:24,19:33,Gym,Home
2024-02-10,Saturday,14:41,15:54,Home,Grocery Store
2024-02-10,Saturday,17:38,18:11,Grocery Store,Mall
2024-02-10,Saturday,21:55,22:18,Mall,Cinema
2024-02-10,Saturday,24:15,23:50,Cinema,Home
2024-02-12,Monday,08:15,08:54,Home,Work
2024-02-12,Monday,16:57,17:58,Work,Gym
2024-02-12,Monday,19:00,19:41,Gym,Home
2024-02-13,Tuesday,07:52,09:14,Home,Work
2024-02-13,Tuesday,17:04,17:45,Work,Gym
2024-02-13,Tuesday,19:26,19:42,Gym,Home
2024-02-14,Wednesday,07:56,08:59,Home,Work
